date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:55:52	3199/3199	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Jun%202020%2014:56:45%20GMT	https://static.wixstatic.com/media/d25dd5_b561c4e88aca4838bd098b11169b5fed~mv2.jpg/v1/fill/w_180,h_173,al_c,q_80,usm_0.66_1.00_0.01,blur_2/d25dd5_b561c4e88aca4838bd098b11169b5fed~mv2.jpg	D:/online%20esta%20website/online-esta.website/static.wixstatic.com/media/d25dd5_b561c4e88aca4838bd098b11169b5fed_mv2.jpg/v1/fill/w_180,h_173,al_c,q_80,usm_0.66_1.00_0.01,blur_2/d25dd5_b561c4e88aca4838bd098b11169b5fed_mv2.jpg	(from https://www.online-esta.website/2)
11:55:53	79809/79809	---M--	200	added ('OK')	image/png	etag:%22c6976dd90600ec4814f39f500718ba30%22	https://static.wixstatic.com/media/d25dd5_e633f533a6264ed5919e4d2440b014e7~mv2.png/v1/fill/w_162,h_316,al_c,usm_0.66_1.00_0.01,blur_3/d25dd5_e633f533a6264ed5919e4d2440b014e7~mv2.png	D:/online%20esta%20website/online-esta.website/static.wixstatic.com/media/d25dd5_e633f533a6264ed5919e4d2440b014e7_mv2.png/v1/fill/w_162,h_316,al_c,usm_0.66_1.00_0.01,blur_3/d25dd5_e633f533a6264ed5919e4d2440b014e7_mv2.png	(from https://www.online-esta.website/2)
11:55:53	353525/353525	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:46%20GMT	https://www.online-esta.website/cumplimentado-del-formulario-esta	D:/online%20esta%20website/online-esta.website/www.online-esta.website/cumplimentado-del-formulario-esta.html	(from https://www.online-esta.website/2)
11:55:54	454008/454008	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:46%20GMT	https://www.online-esta.website/proceso-de-la-solicitud-esta	D:/online%20esta%20website/online-esta.website/www.online-esta.website/proceso-de-la-solicitud-esta.html	(from https://www.online-esta.website/2)
11:55:54	456539/456539	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:47%20GMT	https://www.online-esta.website/cumplimentado-del-formulario-esta-1	D:/online%20esta%20website/online-esta.website/www.online-esta.website/cumplimentado-del-formulario-esta-1.html	(from https://www.online-esta.website/2)
11:55:55	451233/451233	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:48%20GMT	https://www.online-esta.website/posibles-respuestas-a-su-solicitud-	D:/online%20esta%20website/online-esta.website/www.online-esta.website/posibles-respuestas-a-su-solicitud-.html	(from https://www.online-esta.website/2)
11:55:56	454623/454623	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:48%20GMT	https://www.online-esta.website/que-hacer-si-el-esta-le-es-denegado	D:/online%20esta%20website/online-esta.website/www.online-esta.website/que-hacer-si-el-esta-le-es-denegado.html	(from https://www.online-esta.website/2)
11:55:56	348692/348692	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:47%20GMT	https://www.online-esta.website/new-page	D:/online%20esta%20website/online-esta.website/www.online-esta.website/new-page.html	(from https://www.online-esta.website/2)
11:55:56	348942/348942	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:49%20GMT	https://www.online-esta.website/formulario-esta-en-que-casos-podre-	D:/online%20esta%20website/online-esta.website/www.online-esta.website/formulario-esta-en-que-casos-podre-.html	(from https://www.online-esta.website/2)
11:55:58	447708/447708	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:51%20GMT	https://www.online-esta.website/transito-a-un-tercer-pais-con-el-es	D:/online%20esta%20website/online-esta.website/www.online-esta.website/transito-a-un-tercer-pais-con-el-es.html	(from https://www.online-esta.website/2)
11:55:58	345548/345548	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:50%20GMT	https://www.online-esta.website/infografico-sobre-el-esta	D:/online%20esta%20website/online-esta.website/www.online-esta.website/infografico-sobre-el-esta.html	(from https://www.online-esta.website/2)
11:55:59	451357/451357	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:50%20GMT	https://www.online-esta.website/paises-participantes-en-el-esta	D:/online%20esta%20website/online-esta.website/www.online-esta.website/paises-participantes-en-el-esta.html	(from https://www.online-esta.website/2)
11:56:00	447598/447598	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:52%20GMT	https://www.online-esta.website/quien-puede-o-debe-tramitar-una-sol	D:/online%20esta%20website/online-esta.website/www.online-esta.website/quien-puede-o-debe-tramitar-una-sol.html	(from https://www.online-esta.website/2)
11:56:00	351070/351070	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:53%20GMT	https://www.online-esta.website/que-es-el-esta	D:/online%20esta%20website/online-esta.website/www.online-esta.website/que-es-el-esta.html	(from https://www.online-esta.website/2)
11:56:01	453551/453551	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:54%20GMT	https://www.online-esta.website/electronic-system-for-travel	D:/online%20esta%20website/online-esta.website/www.online-esta.website/electronic-system-for-travel.html	(from https://www.online-esta.website/2)
